City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Mayo,US,2022-09-21 20:56:13,38.8876,-76.5119,88.36,63,2,5.99,clear sky
198,Butaritari,KI,2022-09-21 20:56:13,3.0707,172.7902,79.61,76,90,4.54,light rain
199,Yangambi,CD,2022-09-21 20:56:14,0.8102,24.4336,70.41,84,98,2.19,overcast clouds
200,Quechultenango,MX,2022-09-21 20:56:15,17.4167,-99.2167,78.42,80,54,3.47,broken clouds
201,Bud,US,2022-09-21 20:56:15,39.447,-86.1758,93.06,56,8,12.91,clear sky
202,Zhangjiakou,CN,2022-09-21 20:56:16,40.81,114.8794,53.29,66,98,4.65,overcast clouds
203,Codrington,AU,2022-09-21 20:56:16,-38.2667,141.9667,53.08,96,39,3.74,scattered clouds
204,Tuatapere,NZ,2022-09-21 20:56:17,-46.1333,167.6833,48.65,79,14,2.39,few clouds
205,Manicore,BR,2022-09-21 20:56:17,-5.8092,-61.3003,94.95,46,0,5.75,clear sky
206,Floro,NO,2022-09-21 20:56:18,61.5996,5.0328,57.96,72,75,13.8,broken clouds
207,Mangai,CD,2022-09-21 20:56:18,-4.05,19.5333,71.71,94,100,1.59,overcast clouds
208,Oliver,CA,2022-09-21 20:56:19,49.1831,-119.5524,69.71,32,0,8.05,clear sky
209,Belmonte,BR,2022-09-21 20:52:15,-15.8631,-38.8828,74.7,82,15,9.62,few clouds
210,Frontera,MX,2022-09-21 20:56:20,26.9333,-101.45,91.33,46,17,5.99,few clouds
211,Yulara,AU,2022-09-21 20:56:21,-25.2406,130.9889,54.99,37,0,7.96,clear sky
212,San Patricio,US,2022-09-21 20:56:21,28.017,-97.5169,93.18,43,0,12.35,clear sky
213,Chimbote,PE,2022-09-21 20:56:22,-9.0853,-78.5783,64.36,76,100,12.33,overcast clouds
214,Zlobin,HR,2022-09-21 20:56:22,45.2924,14.6541,48.58,50,0,1.14,clear sky
215,Sambava,MG,2022-09-21 20:56:23,-14.2667,50.1667,70.65,92,100,10.36,moderate rain
216,Pokrovskoye,RU,2022-09-21 20:56:23,47.4157,38.8971,58.08,46,47,7.54,scattered clouds
217,Trinidad,BO,2022-09-21 20:56:24,-14.8333,-64.9,98.58,41,20,11.5,smoke
218,Iskateley,RU,2022-09-21 20:56:24,67.6803,53.1512,36.84,77,36,15.77,scattered clouds
219,Bathsheba,BB,2022-09-21 20:56:24,13.2167,-59.5167,84.81,74,75,23.02,broken clouds
220,Spisska Nova Ves,SK,2022-09-21 20:56:25,48.9446,20.5615,47.89,86,100,4.94,overcast clouds
221,Geraldton,AU,2022-09-21 20:54:31,-28.7667,114.6,50.41,93,14,6.91,few clouds
222,Ajdabiya,LY,2022-09-21 20:56:26,30.7554,20.2263,80.49,54,1,13.8,clear sky
223,Cesme,TR,2022-09-21 20:56:26,38.3228,26.3064,68.02,61,3,17.47,clear sky
224,Kurilsk,RU,2022-09-21 20:56:27,45.2333,147.8833,53.24,70,0,7.02,clear sky
225,Taoudenni,ML,2022-09-21 20:53:56,22.6783,-3.9836,93.4,29,56,11.52,broken clouds
226,Katsuura,JP,2022-09-21 20:56:28,35.1333,140.3,69.01,70,100,19.73,overcast clouds
227,Chuy,UY,2022-09-21 20:56:28,-33.6971,-53.4616,53.15,74,100,7.27,overcast clouds
228,Tukrah,LY,2022-09-21 20:56:28,32.5341,20.5791,76.73,82,15,14.29,few clouds
229,Fairbanks,US,2022-09-21 20:56:29,64.8378,-147.7164,48.22,80,99,1.61,overcast clouds
230,Marawi,PH,2022-09-21 20:56:29,7.9986,124.2928,68.58,91,100,3.02,overcast clouds
231,Koslan,RU,2022-09-21 20:56:30,63.4564,48.8989,37.62,97,14,3.58,few clouds
232,Barcelona,ES,2022-09-21 20:53:01,41.3888,2.159,72.32,69,75,9.22,broken clouds
233,Padang,ID,2022-09-21 20:56:31,-0.9492,100.3543,73.04,93,100,1.14,moderate rain
234,Bambous Virieux,MU,2022-09-21 20:56:31,-20.3428,57.7575,72.21,83,75,10.36,light rain
235,Indiana,US,2022-09-21 20:56:31,40.0003,-86.2503,91.17,45,0,9.22,clear sky
236,Severo-Kurilsk,RU,2022-09-21 20:56:32,50.6789,156.125,49.06,76,10,13.71,clear sky
237,Hearst,CA,2022-09-21 20:56:33,49.6835,-83.6665,46.65,93,79,11.68,broken clouds
238,East London,ZA,2022-09-21 20:54:34,-33.0153,27.9116,60.89,79,21,14.45,few clouds
239,Guia De Isora,ES,2022-09-21 20:56:33,28.2115,-16.7795,68.92,89,17,3.98,few clouds
240,Wanning,CN,2022-09-21 20:56:34,18.8003,110.3967,78.15,87,99,3.13,overcast clouds
241,Ketchikan,US,2022-09-21 20:56:34,55.3422,-131.6461,66.72,61,60,2.04,broken clouds
242,Ambovombe,MG,2022-09-21 20:56:35,-25.1667,46.0833,68.86,74,0,6.91,clear sky
243,Inhambane,MZ,2022-09-21 20:56:35,-23.865,35.3833,70.47,90,1,1.79,clear sky
244,Anadyr,RU,2022-09-21 20:56:36,64.75,177.4833,41.5,93,75,17.9,mist
245,Alyangula,AU,2022-09-21 20:56:36,-13.8483,136.4192,75.79,80,3,5.93,clear sky
246,Mae Sot,TH,2022-09-21 20:56:37,16.7167,98.5667,72.45,98,99,0.87,overcast clouds
247,Mazara Del Vallo,IT,2022-09-21 20:56:37,37.6641,12.588,72.93,67,76,7.43,broken clouds
248,Kandy,LK,2022-09-21 20:56:38,7.2955,80.6356,68.74,92,17,2.84,few clouds
249,Port-Gentil,GA,2022-09-21 20:56:38,-0.7193,8.7815,78.76,83,75,12.66,broken clouds
250,Pimentel,PE,2022-09-21 20:56:39,-6.8367,-79.9342,68.29,64,72,25.32,dust
251,Presidencia Roque Saenz Pena,AR,2022-09-21 20:56:39,-26.7852,-60.4388,60.82,85,89,11.59,overcast clouds
252,Amapa,BR,2022-09-21 20:56:40,1.0,-52.0,83.86,58,42,2.89,scattered clouds
253,Alofi,NU,2022-09-21 20:56:40,-19.0595,-169.9187,78.69,78,40,13.8,scattered clouds
254,Alice Springs,AU,2022-09-21 20:56:40,-23.7,133.8833,45.95,66,2,0.0,clear sky
255,Sitka,US,2022-09-21 20:56:41,57.0531,-135.33,62.73,71,100,7.29,overcast clouds
256,Launceston,AU,2022-09-21 20:56:41,-41.45,147.1667,46.04,94,19,5.75,few clouds
257,Mawlaik,MM,2022-09-21 20:56:42,23.6333,94.4167,74.25,99,100,1.01,overcast clouds
258,Estelle,US,2022-09-21 20:56:43,29.8458,-90.1067,97.0,51,4,1.01,clear sky
259,Jardim,BR,2022-09-21 20:56:43,-21.4803,-56.1381,81.03,72,7,11.07,clear sky
